FIELD_name,commercialName,trt,Not Applicable_YLD_N/A,30DAA_LDSR_PUCCSO,Application A_LDSR_PUCCSO,R3_LDSR_PUCCSO,R3_LDSR_SETOTU,R4_LDSR_PUCCSO,R4_LDSR_SETOTU,R5_LDSR_PUCCSO,R5_LDSR_SETOTU,V7_LDSR_SETOTU,R1_LDSR_SETOTU,R4_LDSR_PSDMAV,VT_LDSR_PUCCSO,R6_LDSR_PUCCSO,Not Applicable_LDSR_PUCCSO,Not Applicable_LDSR_SETOTU,V12_LDSR_PUCCSO
EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,DK7272TRE,CHECK,77.61,0,,,,,,,,,,,,,,,
EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,DK7272TRE,CRIPTON_XPRO,54.496687,0,,,,,,,,,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,AX7761VT3P,CHECK,37.22,,,,,,,,,,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,AX7761VT3P,CRIPTON_XPRO,37.040752,,0,,,,,,,,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,DK7210VT3P,CHECK,50.15,,,,,0,,,,0,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,DK7210VT3P,CRIPTON_XPRO,31.52,,0,,,,,,,,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,DK7272TRE,CHECK,65.19,,,,,,,,,,,,,,,,
GFKVN_CARECO_MONCHO_LATE_FFUNG22,DK7272TRE,CRIPTON_XPRO,53.781363,,0,,,,,,,,,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,AX7761VT3P,CHECK,76.7,,,,,,,,,,,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,81.632653,,0,,,,,,,,,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,DK7210VT3P,CHECK,91.26,,,,,0,,,,,0,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,89.375826,,0,,,,,,,,,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,DK7272TRE,CHECK,102.54,,,,,,,,,,,,,,,,
GFKVN_PINZON_TESTA_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,101.923717,,0,,,,,,,,,,,,,,
