FIELD_Country,FIELD_field_latitude,FIELD_field_longitude,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,createdTechnology,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolTitle,SETS_setName
Argentina,-36.153025609237,-62.583586182819,GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,Trenque Lauquen,2022,South,2022,LT718VT3P,,,YLD,N/A,109.75,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-27.013662,-64.906073,SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,Cruz Alta,2022,North,2022,DK7220VTPRO4,DEKALB,PRO4,LDSR,PUCCSO,0,1,,R4,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORFUNG
Argentina,-32.5546041,-64.3840154,GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,Rio Cuarto,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-36.869191030596,-59.913329500802,RLOPE1_AZUL_SCHANG_LATE_FFUNG22,Azul,2022,South,2022,AX7761VT3P,NIDERA,VT3P,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-30.7798454,-64.0809429,DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),Colon,2022,South,2022,AX7761VT3P,NIDERA,VT3P,YLD,N/A,98.581774,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-34.011230642844,-60.789110091006,GFKVN_PINZON_TESTA_EARLY_FFUNG22,Pergamino,2022,South,2022,LT723PRO4,,,YLD,N/A,98.47,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPA1
Argentina,-36.1538758,-62.5857026,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,Trenque Lauquen,2022,South,2022,DK7220VTPRO4,DEKALB,PRO4,YLD,N/A,115.65,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-34.430423482588,-59.742712661692,GFKVN_CARECO_MONCHO_LATE_FFUNG22,Carmen de Areco,2022,South,2022,DK6962VT3P,DEKALB,VT3P,YLD,N/A,49.59,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7220VTPRO4,DEKALB,PRO4,LDSR,PUCCSO,1,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORFUNG
Argentina,-34.430423482588,-59.742712661692,GFKVN_CARECO_MONCHO_LATE_FFUNG22,Carmen de Areco,2022,South,2022,AX7761VT3P,NIDERA,VT3P,YLD,N/A,37.040752,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
